path;file;experiment_group;treatment;replicate_technical;replicate_biological;overlapping_tiles
2020629_IMR90_6d_ICM_young/2020-06-30_rep2/6d43728cf5534fc297bd8b311e6ca90b.h5;6d43728cf5534fc297bd8b311e6ca90b;2020629_IMR90_6d_ICM_young;6d_icm;2;1;TRUE
2020629_IMR90_6d_ICM_young/2020-06-30_rep2/1ecf3235249b767915ba8fde5b813684.h5;1ecf3235249b767915ba8fde5b813684;2020629_IMR90_6d_ICM_young;6d_icm;2;1;TRUE
20211006_IMR90_6d_ICM/6-well/08.10.21_rep1_3_classes/4a2419af1e5513e86f1a3a09e9060259.h5;4a2419af1e5513e86f1a3a09e9060259;20211006_IMR90_6d_ICM;6d_icm;1;3;TRUE
20211006_IMR90_6d_ICM/6-well/06.10.21_rep2_3_classes/718b578c093b569abe400bbc3875e444.h5;718b578c093b569abe400bbc3875e444;20211006_IMR90_6d_ICM;6d_icm;2;3;TRUE
20211006_IMR90_6d_ICM/10cm_dish/07.10.21_rep3_2_classes/ac73c206852da4b6ff0a7cca525e8d73.h5;ac73c206852da4b6ff0a7cca525e8d73;20211006_IMR90_6d_ICM;6d_icm;3;3;TRUE
20211006_IMR90_6d_ICM/10cm_dish/07.10.21_rep2_3_classes/ebb159e24d714583dbc25357d15382e1.h5;ebb159e24d714583dbc25357d15382e1;20211006_IMR90_6d_ICM;6d_icm;4;3;TRUE
20211006_IMR90_6d_ICM/10cm_dish/06.10.21_rep1_3_classes/31eb3648cb318fa6d9671431f3dafd93.h5;31eb3648cb318fa6d9671431f3dafd93;20211006_IMR90_6d_ICM;6d_icm;5;3;TRUE
20211006_IMR90_6d_ICM/10cm_dish/06.10.21_rep1/d22829db0d79f4e0f1808ed522ed96fc.h5;d22829db0d79f4e0f1808ed522ed96fc;20211006_IMR90_6d_ICM;6d_icm;5;3;TRUE
20220111_IMR90_old/20220113_rep3/ded3d565592a6cb238184a4ba54fc6c0.h5;ded3d565592a6cb238184a4ba54fc6c0;20220111_IMR90_old;old;3;3;TRUE
20220111_IMR90_old/20220113_rep3/61d8fbc16aa0786ff5e563bee742f61f.h5;61d8fbc16aa0786ff5e563bee742f61f;20220111_IMR90_old;old;3;3;TRUE
20220111_IMR90_old/20220111_rep1/36abd1c56fe8b0fa02d696f0face114e.h5;36abd1c56fe8b0fa02d696f0face114e;20220111_IMR90_old;old;1;3;TRUE
20220111_IMR90_old/20220111_rep1/50fe7ba64a4bdfb6837f9a78cbf6cab3.h5;50fe7ba64a4bdfb6837f9a78cbf6cab3;20220111_IMR90_old;old;1;3;TRUE
20220111_IMR90_old/20220111_rep1/fb0e12a1d3bc6ad29a0f7f5cf2c02d5d.h5;fb0e12a1d3bc6ad29a0f7f5cf2c02d5d;20220111_IMR90_old;old;1;3;TRUE
20220111_IMR90_old/20220111_rep1/f73ccbb0dd9e1519031c45701ddef55d.h5;f73ccbb0dd9e1519031c45701ddef55d;20220111_IMR90_old;old;1;3;TRUE
20220111_IMR90_old/20220112_rep2/a9627cde705c0695a94f84ecbcf46260.h5;a9627cde705c0695a94f84ecbcf46260;20220111_IMR90_old;old;2;3;TRUE
20220111_IMR90_old/20220112_rep2/ca0ae73a43ef7857d354a07827185857.h5;ca0ae73a43ef7857d354a07827185857;20220111_IMR90_old;old;2;3;TRUE
20220111_IMR90_old/20220112_rep2/5145f3bd5ac27ca1ba10e4ad0505d1a8.h5;5145f3bd5ac27ca1ba10e4ad0505d1a8;20220111_IMR90_old;old;2;3;TRUE
20220107_IMR90_young/20220108_rep2/2f44c2bafbdf9b510f3f15eac12f9960.h5;2f44c2bafbdf9b510f3f15eac12f9960;20220107_IMR90_young;young;2;3;TRUE
20220107_IMR90_young/20220107_rep1/71825fa7678a796fc503b54a3f9a264d.h5;71825fa7678a796fc503b54a3f9a264d;20220107_IMR90_young;young;1;3;TRUE
20220107_IMR90_young/20220107_rep1/3705aab3c35466467c1d2eec780e828b.h5;3705aab3c35466467c1d2eec780e828b;20220107_IMR90_young;young;1;3;TRUE
20220107_IMR90_young/20220109_rep3/8d92ee8cf22c187ea905fc9e748aa86f.h5;8d92ee8cf22c187ea905fc9e748aa86f;20220107_IMR90_young;young;3;3;TRUE
20220107_IMR90_young/20220109_rep3/4d49b4a80b2b4bebeb7c1487a2466bd7.h5;4d49b4a80b2b4bebeb7c1487a2466bd7;20220107_IMR90_young;young;3;3;TRUE
